192.99.150.120 - - [Sat, 27 Jun 2015 23:55:38 GMT] "GET / HTTP/1.1" 200 10340 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:28.0) Gecko/20100101  Firefox/28.0"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:16 GMT] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:23 GMT] "GET /themes/css/bootstrap.min.css HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:23 GMT] "GET /themes/css/style.css HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:23 GMT] "GET /themes/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:23 GMT] "GET /themes/js/jquery-1.9.1.min.js HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:23 GMT] "GET /themes/js/jquery.easing-1.3.min.js HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:23 GMT] "GET /themes/js/bootstrap.min.js HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:24 GMT] "GET /themes/css/bootstrap-responsive.min.css HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:24 GMT] "GET /themes/img/logo1.png HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
78.180.209.207 - - [Sun, 28 Jun 2015 01:32:24 GMT] "GET /themes/js/default.js HTTP/1.1" 304 - "http://handsfreeleveler.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
